gene_symbol	accession_numbers	ensembl_id
AFM	L32140	ENSG00000079557
AFMID	BX648442	ENSG00000183077
AFP	V01514	ENSG00000081051
AFTPH	AB073356	ENSG00000119844
AGA	X55330	ENSG00000038002
AGAP1	AF413078	ENSG00000157985
AGAP1-IT1		ENSG00000235529
AGAP2	AF413077	ENSG00000135439
AGAP2-AS1	BC039697, BC069024	ENSG00000255737
AGAP3	AF413079	ENSG00000133612
AGAP4	AF411132	ENSG00000188234
AGAP5		ENSG00000172650
AGAP6		ENSG00000204149
AGAP7P		ENSG00000264204
AGAP9		ENSG00000204172
AGAP10P		ENSG00000230869
AGAP11		ENSG00000271880
AGAP12P	BC127745	ENSG00000265018
AGAP13P	AF411132	ENSG00000243289
AGAP14P		ENSG00000279058
AGBL1	AK056872	ENSG00000273540
AGBL1-AS1		ENSG00000260125
AGBL2		ENSG00000165923
AGBL3	BC030651	ENSG00000146856
AGBL4	AK027348	ENSG00000186094
AGBL4-IT1		ENSG00000225623
AGBL5	BC007415	ENSG00000084693
AGBL5-AS1		ENSG00000231636
AGBL5-IT1		ENSG00000229122
AGER	M91211	ENSG00000204305
AGFG1		ENSG00000173744
AGFG2	AF015042	ENSG00000106351
AGGF1	AK001145	ENSG00000164252
AGGF1P1		ENSG00000214273
AGGF1P2		ENSG00000233435
AGGF1P3		ENSG00000241532
AGGF1P4		ENSG00000261689
AGGF1P5		ENSG00000260680
AGGF1P6		ENSG00000259836
AGGF1P7		ENSG00000260994
AGGF1P8		ENSG00000261752
AGGF1P9		ENSG00000260427
AGGF1P10		ENSG00000282968
AGK	BC022777	ENSG00000006530
AGKP1		ENSG00000226555
AGL	BC078663	ENSG00000162688
AGMAT	AY057097	ENSG00000116771
AGMO		ENSG00000187546
AGMX2		
AGO1	AF093097	ENSG00000092847
AGO2	AF121255	ENSG00000123908
AGO3	AB046787	ENSG00000126070
AGO4	AB046787	ENSG00000134698
AGPAT1	U56417	ENSG00000204310
AGPAT2	AF000237	ENSG00000169692
AGPAT3	AF156774	ENSG00000160216
AGPAT4	AF156776	ENSG00000026652
AGPAT4-IT1	AK026765	ENSG00000279355
AGPAT5	AF375789	ENSG00000155189
AGPAT5P1		ENSG00000234652
AGPS	Y09443	ENSG00000018510
AGR2	AF038451	ENSG00000106541
AGR3	AY069977	ENSG00000173467
AGRN	XM_372195	ENSG00000188157
AGRP	U88063	ENSG00000159723
AGT	K02215	ENSG00000135744
AGTPBP1	AB028958	ENSG00000135049
AGTR1	M87290	ENSG00000144891
AGTR2	AY324607	ENSG00000180772
AGTRAP	AF165187	ENSG00000177674
AGXT	D13368	ENSG00000172482
AGXT2	AJ292204	ENSG00000113492
AHCTF1		ENSG00000153207
AHCTF1P1		
AHCY	M61832	ENSG00000101444
AHCYL1	U82761	ENSG00000168710
AHCYL2	AB020635	ENSG00000158467
AHCYP1		
AHCYP2		ENSG00000238181
AHCYP3		ENSG00000233955
AHCYP4		ENSG00000232992
AHCYP5		ENSG00000213107
AHCYP6		
AHCYP7		ENSG00000259465
AHCYP8		ENSG00000242529
AHDC1	AK125431	ENSG00000126705
AHI1	AJ459824	ENSG00000135541
AHNAK	M80899	ENSG00000124942
AHNAK2	AB095939	ENSG00000185567
AHR	L19872	ENSG00000106546
AHRR	AB033060	ENSG00000063438
AHSA1	AJ243310	ENSG00000100591
AHSA2P	AK092817	ENSG00000173209
AHSG	D67013, M16961	ENSG00000145192
AHSP	AF208865	ENSG00000169877
AIC		
AICDA	AB040430	ENSG00000111732
AIDA	BC043142	ENSG00000186063
AIF1	U19713	ENSG00000204472
AIF1L	AL136566	ENSG00000126878
AIFM1	AF100928	ENSG00000156709
AIFM1P1		ENSG00000225509
AIFM2	AK027403	ENSG00000042286
AIFM3	AK094844	ENSG00000183773
AIG1	AF153605	ENSG00000146416
AIG1P1		ENSG00000249089
AIH3		
AIM2	AF024714	ENSG00000163568
AIMP1	U10117	ENSG00000164022
AIMP1P1	AL136992	ENSG00000234187
AIMP1P2		ENSG00000227177
AIMP2	U24169	ENSG00000106305
AIP	U31913	ENSG00000110711
AIPL1	AF148864	ENSG00000129221
AIRE	AB006684	ENSG00000160224
AIRN		ENSG00000268257
AIS1		
AIS2		
AIS3		
AJAP1	AF175409	ENSG00000196581
AJM1		ENSG00000232434
AJUBA	AK025567	ENSG00000129474
AK1	J04809	ENSG00000106992
AK2	U84371	ENSG00000004455
AK2P1	AF056332	
AK2P2		ENSG00000242272
AK3	BC013771	ENSG00000147853
AK3P2		ENSG00000250115
AK3P3		ENSG00000230042
AK3P4		ENSG00000248722
AK3P5		ENSG00000228816
AK3P6		
AK4	AK025926	ENSG00000162433
AK4P1	X60674	ENSG00000263535
AK4P2		ENSG00000249410
AK4P3		ENSG00000233381
AK4P4		ENSG00000223621
AK4P5		ENSG00000217377
AK4P6		ENSG00000235606
AK5	AF062595	ENSG00000154027
AK6		ENSG00000085231
AK6P1		ENSG00000256614
AK6P2		ENSG00000257173
AK7	AK057426	ENSG00000140057
AK8	AK093446	ENSG00000165695
AK9	AK131244, BC146443, BC087860	ENSG00000155085
AKAIN1		ENSG00000231824
AKAP1	X97335	ENSG00000121057
AKAP2	AB023137	ENSG00000241978
AKAP3	U85715	ENSG00000111254
AKAP4	AF072756	ENSG00000147081
AKAP5	M90359	ENSG00000179841
AKAP6	AB002309	ENSG00000151320
AKAP7	AF047715	ENSG00000118507
AKAP8	Y11997	ENSG00000105127
AKAP8L	BC000713	ENSG00000011243
AKAP8P1		ENSG00000234146
AKAP9	AF091711	ENSG00000127914
AKAP10	AF037439	ENSG00000108599
AKAP11	AB014529	ENSG00000023516
AKAP12	U81607	ENSG00000131016
AKAP13	M90360	ENSG00000170776
AKAP14	AF514780	ENSG00000186471
AKAP17A	L03426	ENSG00000197976
AKAP17BP		ENSG00000214992
AKIP1	AF512007	ENSG00000166452
AKIRIN1	AK022728	ENSG00000174574
AKIRIN1P1		ENSG00000257786
AKIRIN1P2		ENSG00000228125
AKIRIN2	BC000764	ENSG00000135334
AKIRIN2P1		ENSG00000251482
AKNA	AK024431	ENSG00000106948
AKNAD1	AK095517	ENSG00000162641
AKR1A1	J04794	ENSG00000117448
AKR1B1	J04795	ENSG00000085662
AKR1B1P1		ENSG00000229991
AKR1B1P2	M84454	ENSG00000213452
AKR1B1P3		ENSG00000213785
AKR1B1P4		ENSG00000237876
